Posted_On,Bedrooms,Rent,Size,Floor,Total_floor,Area_type,Area_locality,City,Furnishing_Status,Tenant_Preferred,Bathroom,Point_of_Contact
2022-05-18,2,166.67,1100,1,2,Super Area,Bandel,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-13,2,333.33,800,1,3,Super Area,"Phool Bagan, Kankurgachi",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-16,2,283.33,1000,1,3,Super Area,Salt Lake City Sector 2,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-07-04,2,166.67,800,1,2,Super Area,Dumdum Park,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-09,2,125,850,1,2,Carpet Area,South Dum Dum,Kolkata,Unfurnished,Bachelors,1,Contact Owner
2022-04-29,2,116.67,600,1,1,Super Area,Thakurpukur,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-06-21,2,166.67,700,1,4,Super Area,Malancha,Kolkata,Unfurnished,Bachelors,2,Contact Agent
2022-06-21,1,83.33,250,1,2,Super Area,Malancha,Kolkata,Unfurnished,Bachelors,1,Contact Agent
2022-06-07,2,433.33,800,1,2,Carpet Area,"Palm Avenue Kolkata, Ballygunge",Kolkata,Unfurnished,Bachelors,2,Contact Agent
2022-06-20,2,166.67,1000,1,3,Carpet Area,Natunhat,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-23,3,416.67,1200,1,4,Carpet Area,"Action Area 1, Rajarhat Newtown",Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-06-07,1,83.33,400,1,1,Carpet Area,Keshtopur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
2022-05-14,1,108.33,250,1,4,Carpet Area,"Tarulia, Keshtopur",Kolkata,Furnished,Bachelors,1,Contact Owner
2022-05-09,1,91.67,375,1,2,Carpet Area,Dum Dum Metro,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
2022-05-05,3,141.67,900,1,2,Carpet Area,Paschim Barisha,Kolkata,Unfurnished,Bachelors,2,Contact Owner
2022-06-01,3,666.67,1286,1,1,Carpet Area,New Town Action Area 1,Kolkata,Furnished,Bachelors/Family,2,Contact Owner
2022-05-17,2,100,600,1,2,Super Area,Barasat,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-06-20,2,166.67,800,1,2,Super Area,Behala,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-09,2,183.33,2000,1,3,Carpet Area,Behala Chowrasta,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-09,2,100,660,1,2,Super Area,Behala,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-07-02,2,131.67,650,1,2,Carpet Area,Santoshpur,Kolkata,Unfurnished,Family,1,Contact Owner
2022-06-14,2,150,400,2,3,Carpet Area,"Garia Station, Garia",Kolkata,Unfurnished,Bachelors,2,Contact Owner
2022-06-15,1,66.67,300,1,4,Carpet Area,"Garia Station, Garia",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-15,3,108.33,1600,1,2,Super Area,Joka,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-28,1,133.33,400,1,2,Super Area,Sreebhumi,Kolkata,Semi-Furnished,Bachelors,1,Contact Agent
2022-05-22,2,116.67,1000,1,1,Super Area,Rajarhat,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-18,1,88.33,355,1,1,Carpet Area,Dum Dum,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Agent
2022-06-25,2,100,1000,1,3,Super Area,"Kodalia, Hooghly-Chinsurah",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-06-22,2,141.67,800,4,5,Super Area,Baguiati,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-25,2,208.33,850,1,2,Super Area,"Rabindra Sarobar Area, Dhakuria",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-21,1,125,350,1,2,Carpet Area,Baghajatin,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-26,2,250,900,1,2,Carpet Area,"Project Kaikhali, Vip Road",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-06-16,2,100,550,1,1,Super Area,Vip Road,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-06-29,2,83.33,500,1,2,Carpet Area,Baruipur,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-10,3,366.67,1100,2,3,Carpet Area,Dumdum Park,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-12,2,250,850,1,2,Carpet Area,Sreebhumi,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-06-03,2,208.33,800,2,2,Carpet Area,Shyam Bazar,Kolkata,Unfurnished,Bachelors,1,Contact Agent
2022-05-31,2,116.67,630,1,3,Carpet Area,Birati,Kolkata,Unfurnished,Bachelors,1,Contact Owner
2022-06-10,2,350,900,1,2,Carpet Area,Bansdroni,Kolkata,Semi-Furnished,Bachelors,2,Contact Owner
2022-06-24,1,166.67,270,1,2,Carpet Area,Jadavpur University,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-06-29,2,120,630,1,1,Carpet Area,Birati,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-12,3,200,1500,1,2,Carpet Area,Bhadrakali,Kolkata,Furnished,Bachelors,2,Contact Owner
2022-06-26,1,83.33,600,2,5,Super Area,Behala,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-04-30,2,141.67,700,4,14,Carpet Area,Baruipur,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-27,1,100,300,1,3,Super Area,Ballygunge,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
